Time,lat,long,rssi,Points
22/07/2024 16:17,51.5387685,-0.0087824,-85,97
22/07/2024 16:19,51.5381452,-0.0096291,-91,98
22/07/2024 16:21,51.5387585,-0.0094418,-83,99
22/07/2024 16:23,51.5380292,-0.0099449,-80,100
22/07/2024 16:27,51.5383352,-0.0102899,-49,101
22/07/2024 16:29,51.5383352,-0.0102899,-43,102
22/07/2024 16:31,51.5383352,-0.0102899,-43,103
22/07/2024 16:33,51.5383352,-0.0102899,-43,104
22/07/2024 16:35,51.5383352,-0.0102899,-99,105
22/07/2024 16:37,51.5383352,-0.0102899,-41,106
22/07/2024 16:39,51.5383352,-0.0102899,-91,107
22/07/2024 16:41,51.5383352,-0.0102899,-67,108
22/07/2024 16:43,51.5383352,-0.0102899,-37,109
22/07/2024 16:45,51.5383352,-0.0102899,-36,110
22/07/2024 16:49,51.5383352,-0.0102899,-37,111
22/07/2024 16:51,51.5383352,-0.0102899,-99,112
22/07/2024 16:53,51.5383352,-0.0102899,-39,113
22/07/2024 16:55,51.5383352,-0.0102899,-98,114
22/07/2024 16:57,51.5383352,-0.0102899,-43,115
22/07/2024 16:59,51.5383352,-0.0102899,-102,116
22/07/2024 17:01,51.5383352,-0.0102899,-103,117
22/07/2024 17:03,51.5383352,-0.0102899,-104,118
22/07/2024 17:05,51.5383352,-0.0102899,-99,119
22/07/2024 17:07,51.5383352,-0.0102899,-36,120
22/07/2024 17:09,51.5383352,-0.0102899,-42,121
22/07/2024 17:11,51.5383352,-0.0102899,-51,122
22/07/2024 17:13,51.5383352,-0.0102899,-48,123
22/07/2024 17:15,51.5383352,-0.0102899,-48,124
22/07/2024 17:17,51.5383352,-0.0102899,-49,125
22/07/2024 17:19,51.5383352,-0.0102899,-51,126
25/07/2024 15:28,51.5438,-0.0055601,-98,127
25/07/2024 15:30,51.5440153,-0.0056609,-100,128
25/07/2024 15:32,51.54495,0.00039,-112,129
25/07/2024 15:35,51.5438105,-0.0046014,-98,130
25/07/2024 16:23,51.5467212,-0.0120388,-91,131
25/07/2024 16:26,51.5442013,-0.0124153,-101,132
25/07/2024 16:28,51.543209,-0.0103153,-91,133
25/07/2024 16:29,51.5422025,-0.0089054,-86,134
25/07/2024 16:30,51.541962,-0.0100429,-89,135
25/07/2024 16:31,51.5411255,-0.0110533,-67,136
25/07/2024 16:32,51.5404748,-0.0116096,-91,137
25/07/2024 16:33,51.5399722,-0.0113609,-71,138
25/07/2024 16:34,51.5393357,-0.0106066,-73,139
